Id  country  name  lat  lng
605  PL  Wielki Kack  54.46754  18.4881
606  PL  Kaczory  53.10348  16.88169
607  PL  Kaczyce  49.82752  18.59161
608  PL  Janowiec Wielkopolski  52.75583  17.48981
609  PL  Kalej  50.83662  18.98429
610  PL  Kaliska  53.90535  18.21885
611  PL  Kalisz  51.76109  18.09102
612  PL  Kalisz Pomorski  53.29908  15.90631
613  PL  Kalwaria Zebrzydowska  49.86759  19.6772
614  PL  Kamesznica  49.56469  19.0212
615  PL  Kamien  50.01215  19.58536
616  PL  Kamienica  50.45007  16.95396
617  PL  Kamienica Polska  50.6709  19.12265
618  PL  Kalety  50.5627  18.8926
619  PL  Gostyn  50.10528  18.88241
620  PL  Gryfino  53.25243  14.48831
621  PL  Grudziadz  53.48411  18.75366
622  PL  Gostynin  52.42938  19.46194
623  PL  Goszczanow  51.79163  18.5057
624  PL  Gozdnica  51.4363  15.09856
625  PL  Gozdowo  52.72455  19.68501
626  PL  Grabica  51.47989  19.53137
627  PL  Grabow  52.12717  19.00257
628  PL  Grabow nad Prosna  51.50596  18.11929
629  PL  Grabowo Koscierskie  54.16816  18.14692
630  PL  Gruta  53.45315  18.957
631  PL  Granowo  52.22244  16.52859
632  PL  Grodkow  50.69836  17.38449
633  PL  Grodziec  52.03855  18.05972
634  PL  Grodzisk Wielkopolski  52.22762  16.36534
635  PL  Grojec  49.98147  19.23792
636  PL  Grojec  50.08975  19.55704
637  PL  Gromadka  51.36063  15.76452
638  PL  Gronowo Elblaskie  54.08588  19.30598
639  PL  Gronowo Gorne  54.13863  19.45988
640  PL  Grebocice  51.59909  16.16741
641  PL  Krasnosielc  53.03378  21.15735
642  PL  Lipnica  50.28939  21.88811
643  PL  Limanowa  49.70594  20.42204
644  PL  Krasne  52.92401  20.96732
645  PL  Krasniczyn  50.93171  23.34929
646  PL  Krasnik  50.9236  22.22706
647  PL  Krasnobrod  50.54551  23.21308
648  PL  Krasnopol  54.11613  23.20476
649  PL  Kowiesy  51.88942  20.41929
650  PL  Lutowiska  49.25318  22.69252
651  PL  lapanow  49.86538  20.29149
652  PL  Krasne  50.05626  22.08638
653  PL  lapsze Nizne  49.39807  20.24343
654  PL  Liw  52.37515  21.96768
655  PL  lochow  52.53076  21.68158
656  PL  lomazy  51.90435  23.17656
657  PL  lomianki  52.33413  20.88602
658  PL  lomza  53.17806  22.05935
659  PL  loniow  50.56443  21.52599
660  PL  lopiennik Gorny  51.0408  23.01833
661  PL  lopuszka Wielka  49.93454  22.39305
662  PL  Lisia Gora  50.08039  21.04397
663  PL  lopuszna  49.47281  20.13021
664  PL  Krasiczyn  49.77644  22.65252
665  PL  Kraczkowa  50.03796  22.16801
666  PL  Stara Kornica  52.18183  22.93752
667  PL  Korsze  54.17002  21.13915
668  PL  Kortowo  53.75731  20.4562
669  PL  Korytnica  52.41441  21.84949
670  PL  Korzenna  49.68635  20.84355
671  PL  Kosina  50.07213  22.32903
672  PL  Kosow Lacki  52.59541  22.14707
673  PL  Kostomloty Drugie  50.92684  20.56529
674  PL  Kramarzowka  49.86034  22.50137
675  PL  Kostomloty Pierwsze  50.92322  20.5949
676  PL  Kotun  52.17643  22.06819
677  PL  Kowala  51.32503  21.06972
678  PL  lancut  50.06871  22.22912
679  PL  Kowale Oleckie  54.16354  22.41666
680  PL  Kozienice  51.58294  21.54779
681  PL  Kozlow  50.48394  20.02456
682  PL  Kozlowo  53.30652  20.29098
683  PL  Kozubszczyzna  51.22323  22.42747
684  PL  Koszyce  49.97226  20.94166
685  PL  Nowe Lipiny  52.35789  21.27125
686  PL  lopuszno  50.94864  20.25081
687  PL  lososina Dolna  49.74977  20.63129
688  PL  Laszki  50.0202  22.89997
689  PL  Latowicz  52.02636  21.80829
690  PL  laziska  51.14226  21.87919
691  PL  Lecka  49.8786  22.01368
692  PL  leczna  51.30121  22.88135
693  PL  Legionowo  52.40149  20.92664
694  PL  leki  49.80996  21.66023
695  PL  leki Dolne  49.97386  21.24739
696  PL  laszczow  50.53332  23.72562
697  PL  leki Gorne  49.97386  21.17426
698  PL  Lelkowo  54.32458  20.2248
699  PL  Lesna Podlaska  52.13317  23.02786
700  PL  Lesnica  49.40092  20.06001
701  PL  Leszno  52.25799  20.59121
702  PL  Lesznowola  52.09095  20.93479
703  PL  letownia  50.32481  22.23401
704  PL  Lezajsk  50.26257  22.41932
705  PL  Lidzbark Warminski  54.12588  20.57954
706  PL  lapczyca  49.95994  20.38445
707  PL  losice  52.21129  22.71801
708  PL  Laskowa  49.76147  20.45045
709  PL  lapy  52.9911  22.88422
710  PL  Lubaczow  50.157  23.12339
711  PL  Lubartow  51.46026  22.60952
712  PL  Lubenia  49.93078  21.92665
713  PL  Lublin  51.25  22.56667
714  PL  lubnice  50.41164  21.15014
715  PL  Lubochnia  51.60794  20.05391
716  PL  Lubomierz  49.60854  20.20214
717  PL  Lubomino  54.06684  20.23956
718  PL  laskarzew  51.78993  21.59122
719  PL  Lubycza Krolewska  50.34102  23.51941
720  PL  lukow  51.929  22.37956
721  PL  lukowa  50.093  20.97548
722  PL  lukowa  50.37426  22.94349
723  PL  lukowica  49.6111  20.48289
724  PL  Lipsko  51.15954  21.64933
725  PL  Lipsk  53.73312  23.40225
726  PL  Lipowiec Koscielny  53.10459  20.17639
727  PL  Lipinki  49.67296  21.29288
728  PL  Ludwin  51.34605  22.90581
729  PL  Gluchow  50.08171  22.27135
730  PL  Glogow Malopolski  50.15122  21.96287
731  PL  Glinojeck  52.81983  20.29198
732  PL  Tarnawatka  50.53154  23.3959
733  PL  Tarnobrzeg  50.57304  21.67937
734  PL  Tarnogrod  50.3609  22.74174
735  PL  Tarnow  50.01381  20.98698
736  PL  Tarnowiec  49.73108  21.57663
737  PL  Tarnowiec  49.98164  20.98655
738  PL  Szydlow  50.59114  21.0068
739  PL  Czerwin  52.94905  21.75842
740  PL  Tarlow  51.0016  21.71474
741  PL  Olecko  54.03374  22.50704
742  PL  Janow  53.46747  23.23052
743  PL  Janowice  49.89154  20.86081
744  PL  Janowiec  51.32359  21.8894
745  PL  Janow Lubelski  50.70695  22.41039
746  PL  Janow Podlaski  52.19398  23.21218
747  PL  Jarczow  50.42438  23.58576
748  PL  Jarocin  50.56459  22.32121
749  PL  Jaroslaw  50.01623  22.67776
750  PL  Okocim  49.9489  20.6016
751  PL  Jasien  49.96988  20.5719
752  PL  Targowisko  49.98473  20.29346
753  PL  Tarczyn  51.98197  20.83394
754  PL  Szaflary  49.42655  20.02713
755  PL  Szarow  49.99505  20.2696
756  PL  Szastarka  50.85527  22.31971
757  PL  Szczawnica  49.42437  20.48487
758  PL  Szczebrzeszyn  50.69499  22.97954
759  PL  Szczucin  50.30957  21.07444
760  PL  Szczuczyn  53.5633  22.28534
761  PL  Szczurowa  50.11915  20.6361
762  PL  Targowek  52.29185  21.04845
763  PL  Szczytno  53.56259  20.98747
764  PL  Szepietowo  52.87032  22.54392
765  PL  Szerzyny  49.80919  21.2467
766  PL  Szrensk  53.01277  20.12009
767  PL  swilcza  50.07179  21.89798
768  PL  Szumowo  52.91884  22.08449
769  PL  Szydlowiec  51.22823  20.86106
770  PL  Szydlowo  53.08062  20.45071
771  PL  Szynwald  49.96767  21.12293
772  PL  Szelkow  52.83487  21.21769
773  PL  Tczow  51.326  21.44677
